id,title,author,author_nationality,genre,subgenre,language,pub_year,pages,publisher,isbn,series,series_number,rating,awards,description,keywords,cover_image_url
1,Pride and Prejudice,Jane Austen,British,Romance,Classic Literature,English,1813,432,T. Egerton,9780679783268,,,4.28,Masterpiece of English literature,A romantic novel of manners centered on the relationship between Elizabeth Bennet and Mr. Darcy in Regency-era England,"romance, regency, marriage, social class, pride, prejudice, Elizabeth Bennet",https://images-na.ssl-images-amazon.com/images/I/71Q1tPupKjL.jpg
2,1984,George Orwell,British,Dystopian Fiction,Political Fiction,English,1949,328,Secker & Warburg,9780451524935,,,4.19,TIME's 100 Best English-language Novels,"A dystopian novel about totalitarianism, mass surveillance and repressive regimentation in a totalitarian future society","dystopia, surveillance, Big Brother, totalitarianism, Newspeak, Winston Smith",https://images-na.ssl-images-amazon.com/images/I/71kxa1-0mfL.jpg
3,To Kill a Mockingbird,Harper Lee,American,Southern Gothic,Coming-of-age,English,1960,324,J. B. Lippincott & Co.,9780061120084,,,4.26,Pulitzer Prize for Fiction (1961),A novel about racial injustice in the American South through the eyes of young Scout Finch and her father Atticus,"racism, justice, childhood, Alabama, Atticus Finch, Scout, moral courage",https://images-na.ssl-images-amazon.com/images/I/71FxgtFKcQL.jpg
4,A Tale of Two Cities,Charles Dickens,British,Historical Fiction,Classic Literature,English,1859,448,Chapman & Hall,9780141439600,,,3.86,Best-selling novel of all time,"Set in London and Paris before and during the French Revolution, exploring themes of resurrection and sacrifice","French Revolution, London, Paris, sacrifice, resurrection, social inequality",https://images-na.ssl-images-amazon.com/images/I/71b3N3yCIqL.jpg
5,The Little Prince,Antoine de Saint-Exupéry,French,Fantasy,Children's Literature,French,1943,96,Reynal & Hitchcock,9780156012195,,,4.32,Most translated book in the world,"A poetic tale about a young prince who travels from planet to planet, exploring themes of love, loss, and human nature","prince, planets, rose, fox, philosophy, childhood, innocence",https://images-na.ssl-images-amazon.com/images/I/71OZY035FKL.jpg
6,The Alchemist,Paulo Coelho,Brazilian,Fantasy,Philosophical Fiction,Portuguese,1988,197,HarperTorch,9780062315007,,,3.91,Grinzane Cavour Book Award,A philosophical novel about a shepherd's journey to find treasure and discover his personal legend,"destiny, dreams, journey, treasure, Santiago, personal legend, spirituality",https://images-na.ssl-images-amazon.com/images/I/71aFt4+OTOL.jpg
7,Harry Potter and the Philosopher's Stone,J.K. Rowling,British,Fantasy,Young Adult,English,1997,223,Bloomsbury,9780439708180,Harry Potter,1.0,4.47,British Book Awards Children's Book of the Year,The first book in the Harry Potter series about a young wizard discovering his magical heritage at Hogwarts School,"magic, Hogwarts, wizard, Harry Potter, Voldemort, friendship, coming of age",https://images-na.ssl-images-amazon.com/images/I/81YOuOGFCJL.jpg
8,The Hobbit,J.R.R. Tolkien,British,Fantasy,Adventure,English,1937,310,George Allen & Unwin,9780547928227,Middle-earth,0.0,4.28,Carnegie Medal nominee,The prequel to The Lord of the Rings about Bilbo Baggins' adventure with dwarves to reclaim their mountain home,"hobbits, dwarves, dragon, Smaug, Bilbo, Middle-earth, adventure, ring",https://images-na.ssl-images-amazon.com/images/I/71V2v2GtAtL.jpg
9,Alice's Adventures in Wonderland,Lewis Carroll,British,Fantasy,Children's Literature,English,1865,272,Macmillan Publishers,9780141439761,Alice,1.0,4.06,Classic of children's literature,A classic tale of a girl who falls down a rabbit hole into a fantasy world of peculiar creatures,"Alice, Wonderland, rabbit hole, Mad Hatter, Queen of Hearts, fantasy",https://images-na.ssl-images-amazon.com/images/I/71h7sQV8fQL.jpg
10,And Then There Were None,Agatha Christie,British,Mystery,Thriller,English,1939,272,Collins Crime Club,9780062073488,,,4.27,World's best-selling mystery novel,Ten strangers are invited to an island where they are murdered one by one according to a nursery rhyme,"murder mystery, island, suspense, whodunit, justice, psychological thriller",https://images-na.ssl-images-amazon.com/images/I/71d7fB6t-rL.jpg
